title,authors,average_rating,language_code,num_pages,ratings_count,publication_date,publisher,year
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,4.57,eng,652,2095690,9/16/2006,Scholastic Inc.,2006
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling,4.49,eng,870,2153167,9/1/2004,Scholastic Inc.,2004
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,eng,352,6333,11/1/2003,Scholastic,2003
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,4.56,eng,435,2339585,5/1/2004,Scholastic Inc.,2004
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling,4.78,eng,2690,41428,9/13/2004,Scholastic,2004
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,en-US,152,19,4/26/2005,Nimble Books,2005
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,eng,3342,28242,9/12/2005,Scholastic,2005
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,3628,11/1/2005,Gramercy Books,2005
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,249558,4/30/2002,Del Rey Books,2002
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,eng,215,4930,8/3/2004,Crown,2004
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,eng,6,1266,3/23/2005,Random House Audio,2005
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,2877,1/17/1996,Wings Books,1996
A Short History of Nearly Everything,Bill Bryson,4.21,eng,544,248558,9/14/2004,Broadway Books,2004
Bill Bryson's African Diary,Bill Bryson,3.44,eng,55,7270,12/3/2002,Broadway Books,2002
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,eng,256,2088,9/14/2004,Broadway Books,2004
In a Sunburned Country,Bill Bryson,4.07,eng,335,72451,5/15/2001,Broadway Books,2001
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,eng,304,49240,6/28/2000,Broadway Books,2000
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,eng,299,45712,8/28/1990,William Morrow Paperbacks,1990
Neither Here nor There: Travels in Europe,Bill Bryson,3.86,eng,254,48701,3/28/1993,William Morrow Paperbacks,1993
Notes from a Small Island,Bill Bryson,3.91,eng,324,80609,5/28/1997,William Morrow Paperbacks,1997
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,eng,270,28489,9/28/1991,William Morrow Paperbacks,1991
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,eng,1728,101233,9/25/2012,Ballantine Books,2012
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,eng,1184,1710,10/21/2004,Houghton Mifflin Harcourt,2004
